Контекст для запроса от пользователя GregoryPlus:

Таблица (Алгоритм замены MMSI УКВ FURUNO FM8800S):
1,Выключить УКВ.,
2,Поставить перемычку в порт принтер между 2 и 15 как на Рисунок 438.,Рисунок 438 (Алгоритм смены MMSI у FURINO FM8800S №1)
2,Или между 25 и 26 если FM-8810 как на Рисунок 439.,Рисунок 439 (Схема портов FM-8100)
3,Включить питание и зажать [MENU].,
4,Выбрать SELF ID используя [▼] и [ENT] как на Рисунок 440.,Рисунок 440 (Алгоритм смены MMSI у FURINO FM8800S №2)
5,Последовательно нажать цифры пароля ( 652111 ).,
6,Станция издаст звуковой сигнал.,
7,Нажмите ent и станция даст ввести новый MMSI.,
 (table_90.csv)

Таблица (table_4.csv):
№ ПП,Name,MMSI,"Frequency Band, kHz",Time (UTC)
West I,West I,West I,West I,West I
1,Sweden - Göteborg,002653000,2187.5,
2,Finland - Turku,002301000,2187.5,24 h
3,Denmark - Lyngby,002191000,2187.5,
Russian Federation I,Russian Federation I,Russian Federation I,Russian Federation I,Russian Federation I
4,Saint-Petersburg,002733700,4207.5,
5,Temryuk (Taman),002734446,2187.5,
West II,West II,West II,West II,West II
6,Madrid,002241022,8414.5,24 h
7,Lisbon,002630100,2187.5,24 h
Russian Federation III,Russian Federation III,Russian Federation III,Russian Federation III,Russian Federation III
8,Taganrog,002734487,2187.5,24 h
9,Novorossiysk,002734411,2187.5,24 h
10,Arkhangelsk,002734414,2187.5,24 h
Europe III,Europe III,Europe III,Europe III,Europe III
11,Ukraine - Odessa,002723660,2187.5,24 h
12,Romania - Constanta,002640570,2187.5 4207.5 8414.5 12577,24 h
13,Bulgaria - Varna,002070810,2187.5,24 h
14,Georgia,002130100,2187.5,24 h
Turkey III,Turkey III,Turkey III,Turkey III,Turkey III
15,Istanbul,002711000,4207.5 8414.5 12577 16804.5,24 h
16,Samsun,002712000,2187.5,24 h
17,Izmir,002715000,2187.5,24 h
18,Antalya,002713000,2187.5,24 h
Mediterranean III,Mediterranean III,Mediterranean III,Mediterranean III,Mediterranean III
19,Cyprus,002091000,2187.5 4207.5 8414.5,24 h
20,Greece - Olympia Radio,002371000,8414.5,24 h
21,Israel - Haifa,004280001,2187.5,24 h
Egypt III,Egypt III,Egypt III,Egypt III,Egypt III
22,Alexandria,006221111,"2187.5 4207.5 8414.5
12577 16804.5",24 h
23,Port Said,006221113,2187.5,
Japan XI,Japan XI,Japan XI,Japan XI,Japan XI
24,Tokyo Coast Guard Radio,004310001,4207.5 8414.5 12577 16804.5,24h
25,Hokkaido Coast Guard,004310101,2187.5,24
26,Shiogama Coast Guard,004310201,2187.5,24
27,Tokyo Coast Guard Radio,004310001,4207.5 8414.5 12577 16804.5,24h
China XI,China XI,China XI,China XI,China XI
28,Basuo Radio,004123600,2187.5,24
29,Dalian Radio,004121300,2187.5,24
United States of America XII,United States of America XII,United States of America XII,United States of America XII,United States of America XII
30,Kodiak,003669899,4207.5 8414.5 12577 16804.5,24
31,Honolulu,003669993,4207.5 8414.5 12577 16804.5,24
 (table_4.csv)

Таблица (table_69.csv):
Kongsber g,Seatex 100,AIS (upper case),
L3,,Admin = L3AIS & User = L3USR,
Nauticast,,NAUT,
Naval,Navsat 90/120,Mats (alleen settings),
Naval,Navsat 90/120,JEH (alles),
Netwave,NW4000,"192.168.2.50
NW220654 nw220654",автоматически
Nera,Worldphone,1234,
Nera,,owner 123456,
Nera,,technisch 753951,
Nera,"Fleet 77 [owner
level]",1234567890,
NSR,NVX-1000,↑ ↑ ↑ ↑ ↑ ↑ ↑ ↑(8 times key up),
NSR,NGR-1000,↑ ↑ ↑ ↑ ↑ ↑ ↑ ↑(8 times key up),
NSR,NBW-1000,↑ ↑ ↑ ↑ ↑ ↑ ↑ ↑(8 times key up),
NSR,NVR-1000,777777,
NSR,NES-20XX,456123,
NSR,NSI-1000,77777777,
NSR,NGR-3000,77777777 or 66733733,
NSR,NVR-9000,,
NSR,"Configuration
software","User name: NSR
Password: 123",
NSR,"LRU/FFC/FPC
direct
access to files",User name: admin Password: 123,
NSR,MCU upgrade ACU upgrade,User name: update Password: 123456,
NSR,RAU,77777777 or 66733733,
Ross,VHF DSC 500,9874123654 clear mode,
Rutter,100G2 G3,"«Computer: 200.200.200.200
MyUser/Rutter Administrator/323Vdr+ Playback/Vdr Watchdog/VDRVDR
WORKGROUP/ VDR» это все один пароль","200.200.200.150
255.255.255.0"
"S.P.
Radio",RM2150/51,initialization S1-4,
"S.P.
Radio",RM2150/51,service mode S2-4 / st -operator,
"S.P.
Radio",SP 1600M,70663,
"S.P.
Radio",HF compact 4000,dipswitch S1 on PCB 717 1234,
"S.P.
Radio",UAIS 1800,0,
"S.P.
Radio",UAIS 1900,SAIS (upper case),
"S.P.
Radio",Sailor Fleet,service (12345678),
"S.P.
Radio","DT4646E =
DT3606E",taspac (BIOS),
SAAB,R3 AIS,admin,
SAAB,R4 AIS,for shipdetails : user; others : admin,
SAAB,R4 DGPS,«Changing locked settings. Go to the menu item with the Padlock and press following number: 157255 (nothing changes until all pressed)» Это все один большой пароль (отправить полностью),
SAIT,XH5140,00000 / 99999,
SAIT,XH5141,21223122 then 2 x prog key,
SAM,radar 1000,sr1000 or $$ or sr,
SAM,radar 1100,sr1000 or $$ or sr,
Saracom,RH-20,763,
servowatc h,,eagle,
Shipmate,RS8400,Make jumper connection on PCB in the middle,
Skanti,DSC 3000,741573,
Skanti,DSC 9000,741573,
Skanti,PC 9000,ECI / skanti / itnaks,
Skanti,TRP 8000,278,
Standard Radio,"STR2000
sellcall No and A/B",FUZZ (edit c:\str2000\rdta\rcom.ini,
Standard Radio,STR2000 MMSI,FUZZ (edit c:\str2000\GDTA\gmdss.ini,
Standard Radio,STR2000 BIOS,NIT,
Thrane & Thrane,TT3606E,BIOS ww taspac,
Thrane & Thrane,TT3064A,simcard default 0000 or 1234,
Thrane & Thrane,TT3000,"su sysadm, su distb, su normal",
Thrane & Thrane,RT5022,S5000ACC (access extended settings met LAN),
Thrane & Thrane,distributor password,contact T&T website for ticket,
Thrane & Thrane,"6200
6222","12345
Web interface user: admin Passw: techuser user: admin, passw:sailorsailor",
Thrane & Thrane,RT4822,SHIFT+FUNC+USER+VERSION,
Transas,Navi-sailor 3000/4000,Transas Integrator: avlad,
Trimble,Sentinel,BREZEL,
Trimble,"Sentinel
technical menu",112831BD,
Trimble,Sentinel password lost,218526512LEZERB,
"Yokogaw
a",CMZ 700,"maintenance 33333, reset RH 77777, erase
all 99999, generation mode 44444",
Yokogaw a,PT500A,Operation mode/rate radius/speed/rudder limit,
"Yokogaw
a",PT500D,"rudder limit/rudder limit/offcrs alarm/rudder
limit",
"Yokogaw
a",CMZ 300,"dipswitch 1 ON, C8, 40024, 0E (8x) 0",
"Yokogaw
a",CMZ 500 type 2,"34E, 7102",
Yokogaw a,CMZ 500 type 3,"34E, 70102",
Yokogaw a,CMZ 900,"maintenance 3000
reset RH 34444
Log reset 35555
Init backup memory 36666 generate 40000",
